financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
04_16/17,2016/2017,4.0,28.0,2016-07-23,Central,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.5066805571119356,1008032.4852623632,37233492.66313498,2016.0,,,,0,0,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,Waterloo & City,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.2487231136657522,27316.76925880065,7945952.198548621,2016.0,,,,0,0,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,Circle & Hammersmith & City,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.5830199562476285,301680.59945041523,,2016.0,2023.0,2017.0,2023.0,0,0,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,District,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.4917109318924187,764685.1911193647,46499877.01545718,2016.0,2023.0,2017.0,2023.0,0,0,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,Jubilee,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.3084334493557009,836160.5188109602,16244511.400943397,2016.0,2011.0,2011.0,2011.0,1,1,1
04_16/17,2016/2017,4.0,28.0,2016-07-23,Metropolitan,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.7189085483672571,608375.2738605902,29505547.36233672,2016.0,,2012.0,,0,1,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,Northern,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.2791225153452783,1126780.0193203918,36481119.98251088,2016.0,2014.0,2014.0,2014.0,1,1,1
04_16/17,2016/2017,4.0,28.0,2016-07-23,Piccadilly,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.5046985686074609,913814.299469174,22418857.42140784,2016.0,,,,0,0,0
04_16/17,2016/2017,4.0,28.0,2016-07-23,Victoria,2542254.6600000025,4.390613341815661,6458081.677054219,0.9722821026831272,,0.3425415978314592,585346.3236428308,12702561.691219158,2016.0,2016.0,2009.0,2016.0,1,1,1
05_16/17,2016/2017,5.0,28.0,2016-08-20,Bakerloo,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.374523735030771,285190.3203819943,8183991.662046443,2016.0,,,,0,0,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,Central,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.4665092815280242,1005564.7608262924,34503264.05355588,2016.0,,,,0,0,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,Waterloo & City,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.2290035396601759,27249.89615699093,7363297.591872278,2016.0,,,,0,0,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,Circle & Hammersmith & City,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.536796245855344,300942.067113376,,2016.0,2023.0,2017.0,2023.0,0,0,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,District,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.4527264966789149,762813.1955640472,43090170.17656023,2016.0,2023.0,2017.0,2023.0,0,0,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,Jubilee,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.2839798465492545,834113.5473344303,15053346.495283015,2016.0,2011.0,2011.0,2011.0,1,1,1
05_16/17,2016/2017,5.0,28.0,2016-08-20,Metropolitan,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.6619111502813646,606885.9344280257,27341987.51908563,2016.0,,2012.0,,0,1,0
05_16/17,2016/2017,5.0,28.0,2016-08-20,Northern,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.2569927783182216,1124021.5937454167,33806060.77206095,2016.0,2014.0,2014.0,2014.0,1,1,1
05_16/17,2016/2017,5.0,28.0,2016-08-20,Piccadilly,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.4646844314913668,911577.2268452254,20774944.869883887,2016.0,,,,0,0,0
