Station,year,annual_entry_exit
Warren Street,2014,19405419
Warwick Avenue,2014,4508957
Waterloo,2014,91491846
Watford,2014,1756514
Wembley Central,2014,5524620
Wembley Park,2014,14108508
West Acton,2014,1665631
West Brompton,2014,4470979
West Finchley,2014,1536049
West Ham,2014,3508528
West Hampstead,2014,10590656
West Harrow,2014,1201513
West Kensington,2014,5135720
West Ruislip,2014,1558431
Westbourne Park,2014,3727735
Westminster,2014,26032437
White City,2014,7514462
Whitechapel,2014,12890831
Willesden Green,2014,8819034
Willesden Junction,2014,4503851
Wimbledon,2014,15298628
Wimbledon Park,2014,1807402
Wood Green,2014,13352231
Wood Lane,2014,3982886
Woodford,2014,5870341
Woodside Park,2014,2646926
Acton Town                         ,2013,5748994
Aldgate                            ,2013,6877712
Aldgate East                       ,2013,11663144
Alperton                           ,2013,2956888
Amersham                           ,2013,2041139
Angel                              ,2013,18930868
Archway                            ,2013,8169486
Arnos Grove                        ,2013,4479004
Arsenal                            ,2013,3091593
Baker Street                       ,2013,28097997
Balham                             ,2013,12051320
Bank & Monument                    ,2013,48884756
Barbican                           ,2013,10464425
Barking                            ,2013,15224058
Barkingside                        ,2013,1241272
Barons Court                       ,2013,7155458
Bayswater                          ,2013,5493688
Becontree                          ,2013,3039868
Belsize Park                       ,2013,5842725
Bermondsey                         ,2013,8639504
Bethnal Green                      ,2013,15272389
Blackfriars                        ,2013,12087967
Blackhorse Road                    ,2013,7898300
Bond Street                        ,2013,39648205
Borough                            ,2013,4887560
Boston Manor                       ,2013,2077572
Bounds Green                       ,2013,6161808
Bow Road                           ,2013,5601781
Brent Cross                        ,2013,2135435
Brixton                            ,2013,27221964
Bromley-by-Bow                     ,2013,3210211
Buckhurst Hill                     ,2013,1943928
Burnt Oak                          ,2013,3614445
Caledonian Road                    ,2013,5939278
Camden Town                        ,2013,22515351
Canada Water                       ,2013,11557722
Canary Wharf                       ,2013,50046631
Canning Town                       ,2013,9784093
Cannon Street                      ,2013,4644524
Canons Park                        ,2013,2378098
Chalfont & Latimer                 ,2013,1111515
Chalk Farm                         ,2013,5550362
Chancery Lane                      ,2013,16523655
Charing Cross                      ,2013,18634461
Chesham                            ,2013,689840
Chigwell                           ,2013,520702
Chiswick Park                      ,2013,2123339
Chorleywood                        ,2013,985762
Clapham Common                     ,2013,8938504
Clapham North                      ,2013,6169702
Clapham South                      ,2013,7584358
Cockfosters                        ,2013,1969644
Colindale                          ,2013,4536889
Colliers Wood                      ,2013,5786354
Covent Garden                      ,2013,21165350
Croxley                            ,2013,921058
Dagenham East                      ,2013,2418659
Dagenham Heathway                  ,2013,5156354
Debden                             ,2013,2298091
Dollis Hill                        ,2013,3231810
Ealing Broadway                    ,2013,16640278
Ealing Common                      ,2013,3340949
Earl's Court                       ,2013,21266746
East Acton                         ,2013,3881384
East Finchley                      ,2013,6558418
East Ham                           ,2013,13581725
East Putney                        ,2013,5652154
Eastcote                           ,2013,2628771
Edgware                            ,2013,4090187
Edgware Road (Bak)                 ,2013,0
Edgware Road (Cir)                 ,2013,8194415
Elephant & Castle                  ,2013,17674326
Elm Park                           ,2013,2628329
Embankment                         ,2013,20151962
Epping                             ,2013,3144293
Euston                             ,2013,38026531
Euston Square                      ,2013,12358617
Fairlop                            ,2013,966835
Farringdon                         ,2013,21764657
Finchley Central                   ,2013,5332385
Finchley Road                      ,2013,9898800
Finsbury Park                      ,2013,27072271
Fulham Broadway                    ,2013,9944627
Gants Hill                         ,2013,5986579
Gloucester Road                    ,2013,14912967
Golders Green                      ,2013,7397006
Goldhawk Road                      ,2013,1793796
Goodge Street                      ,2013,8229689
Grange Hill                        ,2013,562391
Great Portland Street              ,2013,7577960
Green Park                         ,2013,35459916
Greenford                          ,2013,4346343
Gunnersbury                        ,2013,4553739
Hainault                           ,2013,3146946
Hammersmith (Dis)                  ,2013,29286237
Hammersmith (H&C)                  ,2013,8957266
Hampstead                          ,2013,4285503
Hanger Lane                        ,2013,3629301
Harlesden                          ,2013,2603902
Harrow & Wealdstone                ,2013,4659489
Harrow-on-the-Hill                 ,2013,9205889
Hatton Cross                       ,2013,3076485
Heathrow Terminal 4                ,2013,2427793
Heathrow Terminal 5                ,2013,4047773
Heathrow Terminals 123             ,2013,8143722
Hendon Central                     ,2013,6843039
High Barnet                        ,2013,2796356
High Street Kensington             ,2013,13458770
Highbury & Islington               ,2013,18134071
Highgate                           ,2013,4637186
Hillingdon                         ,2013,1634164
Holborn                            ,2013,34022691
Holland Park                       ,2013,3393821
Holloway Road                      ,2013,7146236
Hornchurch                         ,2013,1988632
Hounslow Central                   ,2013,3929167
Hounslow East                      ,2013,4340980
Hounslow West                      ,2013,3337658
Hyde Park Corner                   ,2013,5802786
Ickenham                           ,2013,1073393
