financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line
05_16/17,2016/2017,5.0,28.0,2016-08-20,Victoria,2005242.5999999985,4.042511295939229,6442271.902867764,0.979806390514084,,0.3153837905457911,583913.3604719646
06_16/17,2016/2017,6.0,28.0,2016-09-17,Bakerloo,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.3822707995145251,284811.45556550653
06_16/17,2016/2017,6.0,28.0,2016-09-17,Central,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.4761590771170018,1004228.9051490492
06_16/17,2016/2017,6.0,28.0,2016-09-17,Waterloo & City,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.23374050296267404,27213.695675526476
06_16/17,2016/2017,6.0,28.0,2016-09-17,Circle & Hammersmith & City,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.5478999350005374,300542.2766826291
06_16/17,2016/2017,6.0,28.0,2016-09-17,District,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.4620911938535478,761799.8263831972
06_16/17,2016/2017,6.0,28.0,2016-09-17,Jubilee,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.289854000781757,833005.4582673906
06_16/17,2016/2017,6.0,28.0,2016-09-17,Metropolitan,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.6756028549294671,606079.7088595418
06_16/17,2016/2017,6.0,28.0,2016-09-17,Northern,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.2623087020882513,1122528.372536954
06_16/17,2016/2017,6.0,28.0,2016-09-17,Piccadilly,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.47429647985744544,910366.2301385329
06_16/17,2016/2017,6.0,28.0,2016-09-17,Victoria,2199866.180000005,4.1261310849049995,6433713.582378572,0.9722753864192553,,0.32190753879979234,583137.6531202436
07_16/17,2016/2017,7.0,28.0,2016-10-15,Bakerloo,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.4342759089047391,287535.0987993028
07_16/17,2016/2017,7.0,28.0,2016-10-15,Central,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.5409369908997471,1013832.3154376596
07_16/17,2016/2017,7.0,28.0,2016-10-15,Waterloo & City,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.26553916621640666,27473.93941448027
07_16/17,2016/2017,7.0,28.0,2016-10-15,Circle & Hammersmith & City,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.6224376608503284,303416.3532773751
07_16/17,2016/2017,7.0,28.0,2016-10-15,District,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.5249552763707772,769084.8948103643
07_16/17,2016/2017,7.0,28.0,2016-10-15,Jubilee,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.32928648957501544,840971.4639732374
07_16/17,2016/2017,7.0,28.0,2016-10-15,Metropolitan,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.7675136166710603,611875.6305681644
07_16/17,2016/2017,7.0,28.0,2016-10-15,Northern,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.2979938571234484,1133263.0770120043
07_16/17,2016/2017,7.0,28.0,2016-10-15,Piccadilly,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.5388210010861266,919072.0345383956
07_16/17,2016/2017,7.0,28.0,2016-10-15,Victoria,1970358.1000000027,4.687460641599778,6495238.988482887,0.9763852716504763,,0.3657006739021288,588714.1806519022
08_16/17,2016/2017,8.0,28.0,2016-11-12,Bakerloo,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.46243811670768264,290205.8978659928
08_16/17,2016/2017,8.0,28.0,2016-11-12,Central,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.5760160262172677,1023249.4002149898
08_16/17,2016/2017,8.0,28.0,2016-11-12,Waterloo & City,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.28275902351327364,27729.133900485293
08_16/17,2016/2017,8.0,28.0,2016-11-12,Circle & Hammersmith & City,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.6628019048477779,306234.6669946765
08_16/17,2016/2017,8.0,28.0,2016-11-12,District,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.558997919025515,776228.6182300176
08_16/17,2016/2017,8.0,28.0,2016-11-12,Jubilee,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.3506402749358045,848782.9131162179
08_16/17,2016/2017,8.0,28.0,2016-11-12,Metropolitan,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.8172858410129372,617559.0997163691
08_16/17,2016/2017,8.0,28.0,2016-11-12,Northern,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.317318357415156,1143789.5065889044
08_16/17,2016/2017,8.0,28.0,2016-11-12,Piccadilly,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.5737628173140817,927608.9287899713
08_16/17,2016/2017,8.0,28.0,2016-11-12,Victoria,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.389415870073343,594182.5123122736
09_16/17,2016/2017,9.0,28.0,2016-12-10,Bakerloo,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.6081302117341181,279029.6827569174
09_16/17,2016/2017,9.0,28.0,2016-12-10,Central,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.757491078978639,983842.7048613484
09_16/17,2016/2017,9.0,28.0,2016-12-10,Waterloo & City,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.371842844753119,26661.24807342576
09_16/17,2016/2017,9.0,28.0,2016-12-10,Circle & Hammersmith & City,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.8716190300282823,294441.1626677279
09_16/17,2016/2017,9.0,28.0,2016-12-10,District,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.7351113815533584,746335.0217354177
09_16/17,2016/2017,9.0,28.0,2016-12-10,Jubilee,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.4611102262878791,816095.1542262351
09_16/17,2016/2017,9.0,28.0,2016-12-10,Metropolitan,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,1.0747734531076063,593776.0774147885
09_16/17,2016/2017,9.0,28.0,2016-12-10,Northern,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.41729016901948535,1099740.651416968
09_16/17,2016/2017,9.0,28.0,2016-12-10,Piccadilly,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.7545279919019701,891885.4751955065
09_16/17,2016/2017,9.0,28.0,2016-12-10,Victoria,4613543.760000003,6.563998541067381,6303106.9318315,0.9332729372225319,,0.5121021537029229,571299.7534831637
10_16/17,2016/2017,10.0,28.0,2017-01-07,Bakerloo,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.42091675871980977,267444.17314642126
10_16/17,2016/2017,10.0,28.0,2017-01-07,Central,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.5242967436425624,942992.860501537
10_16/17,2016/2017,10.0,28.0,2017-01-07,Waterloo & City,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.2573706780992267,25554.254212662974
10_16/17,2016/2017,10.0,28.0,2017-01-07,Circle & Hammersmith & City,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.6032902984902403,282215.75752047554
10_16/17,2016/2017,10.0,28.0,2017-01-07,District,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.5088066569479424,715346.6642189944
10_16/17,2016/2017,10.0,28.0,2017-01-07,Jubilee,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.3191570129499012,782210.3067112697
10_16/17,2016/2017,10.0,28.0,2017-01-07,Metropolitan,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.7439034428993991,569122.0750756729
10_16/17,2016/2017,10.0,28.0,2017-01-07,Northern,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.28882700119183885,1054078.6424143482
10_16/17,2016/2017,10.0,28.0,2017-01-07,Piccadilly,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.5222458456867455,854853.7599950087
10_16/17,2016/2017,10.0,28.0,2017-01-07,Victoria,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188211,,0.35445102793924377,547578.9839970751
11_16/17,2016/2017,11.0,28.0,2017-02-04,Bakerloo,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.5330887730765639,277597.86592558894
11_16/17,2016/2017,11.0,28.0,2017-02-04,Central,2440100.5300000007,5.754020867925331,6270763.080433721,0.944806893479317,,0.6640189586333459,978794.2005936954
